City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Riyadh,SA,2020-06-24 02:22:47,24.69,46.72,80.6,11,100,10.29
274,Vostok,RU,2020-06-24 02:20:47,46.49,135.88,55.53,100,100,3.67
275,Thompson,CA,2020-06-24 02:23:53,55.74,-97.86,80.6,30,20,5.82
276,Weston,US,2020-06-24 02:19:26,26.1,-80.4,84.99,82,100,5.91
277,Hun,LY,2020-06-24 02:23:53,29.13,15.95,69.55,61,0,8.05
278,Hassleholm,SE,2020-06-24 02:23:10,56.16,13.77,57.0,93,0,5.82
279,Turka,UA,2020-06-24 02:23:53,49.15,23.03,59.0,85,100,5.01
280,Cherskiy,RU,2020-06-24 02:20:35,68.75,161.3,55.49,40,94,14.99
281,Dwarka,IN,2020-06-24 02:23:53,22.24,68.97,85.96,78,30,8.37
282,Srednekolymsk,RU,2020-06-24 02:23:53,67.45,153.68,70.29,23,0,9.22
283,Zhigalovo,RU,2020-06-24 02:23:53,54.81,105.16,77.23,44,16,2.89
284,Severo-Kurilsk,RU,2020-06-24 02:20:18,50.68,156.12,50.11,79,100,8.84
285,Kandrian,PG,2020-06-24 02:23:54,-6.22,149.55,85.55,72,35,8.21
286,Porto Torres,IT,2020-06-24 02:23:54,40.84,8.4,66.0,82,0,3.36
287,Cochrane,CA,2020-06-24 02:22:02,51.18,-114.47,73.4,40,90,11.41
288,Rocha,UY,2020-06-24 02:23:54,-34.48,-54.33,57.97,97,100,6.22
289,Los Llanos De Aridane,ES,2020-06-24 02:23:54,28.66,-17.92,73.4,73,90,16.11
290,Longyearbyen,SJ,2020-06-24 02:20:48,78.22,15.64,42.8,81,40,2.24
291,Kasongo-Lunda,CD,2020-06-24 02:23:54,-6.47,16.82,65.19,39,44,2.06
292,Manzanillo,CU,2020-06-24 02:23:54,20.34,-77.12,80.62,83,2,7.2
293,Miyako,JP,2020-06-24 02:23:54,39.64,141.95,68.99,69,41,7.09
294,San Jeronimo,PE,2020-06-24 02:23:54,-11.95,-75.28,47.61,67,100,1.45
295,Ahipara,NZ,2020-06-24 02:23:54,-35.17,173.17,58.71,88,100,16.08
296,Makakilo City,US,2020-06-24 02:20:19,21.35,-158.09,84.2,62,20,11.41
297,Hornepayne,CA,2020-06-24 02:23:54,49.21,-84.77,55.53,71,100,9.37
298,Maralal,KE,2020-06-24 02:23:54,1.1,36.7,56.77,88,20,4.61
299,Shigony,RU,2020-06-24 02:23:54,53.39,48.68,56.68,94,100,1.88
300,Ossora,RU,2020-06-24 02:23:55,59.24,163.07,62.64,56,0,6.22
301,Sorland,NO,2020-06-24 02:20:41,67.67,12.69,51.19,82,100,14.92
302,Point Pleasant,US,2020-06-24 02:21:02,40.08,-74.07,77.0,84,1,4.7
303,Aklavik,CA,2020-06-24 02:23:55,68.22,-135.01,44.6,75,90,9.17
304,Sobolevo,RU,2020-06-24 02:23:55,54.43,31.9,54.34,89,0,5.41
