City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
222,Hambantota,LK,6.12,81.12,80.67,78,99,13.38,overcast clouds,0.0,0
223,Manono,CD,-7.3,27.42,79.9,32,47,3.74,scattered clouds,0.0,0
224,Lieksa,FI,63.32,30.02,70.38,61,69,2.64,light rain,0.29,0
225,Yulara,AU,-25.24,130.99,39.2,51,0,4.7,clear sky,0.0,0
226,Monte Carmelo,BR,-18.72,-47.5,77.11,47,8,5.5,clear sky,0.0,0
227,Wasilla,US,61.58,-149.44,57.0,54,1,9.17,clear sky,0.0,0
228,Aykhal,RU,66.0,111.5,66.2,52,0,6.71,clear sky,0.0,0
229,Obihiro,JP,42.92,143.2,53.8,93,100,2.19,overcast clouds,0.0,0
230,Tres Arroyos,AR,-38.37,-60.28,49.5,49,11,11.95,few clouds,0.0,0
231,Totness,SR,5.88,-56.32,82.44,82,47,8.95,light rain,0.52,0
232,Matara,LK,5.95,80.54,78.98,85,94,8.3,overcast clouds,0.0,0
233,Muisne,EC,0.6,-80.03,84.2,74,75,6.93,broken clouds,0.0,0
234,Nuuk,GL,64.18,-51.72,50.0,61,20,10.29,few clouds,0.0,0
235,Khatanga,RU,71.97,102.5,69.03,58,88,10.38,light rain,0.11,0
236,Bay Roberts,CA,47.6,-53.26,79.0,66,29,11.9,scattered clouds,0.0,0
237,Ossora,RU,59.24,163.07,54.27,72,43,1.43,scattered clouds,0.0,0
238,Vrsac,RS,45.12,21.3,78.8,69,7,5.82,clear sky,0.0,0
239,Palma Di Montechiaro,IT,37.19,13.77,80.01,100,0,7.0,clear sky,0.0,0
240,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,42,22,6.93,few clouds,0.0,0
241,Araceli,PH,10.55,119.99,83.05,72,100,2.98,moderate rain,1.12,0
242,Asau,RO,46.43,26.4,66.0,86,69,3.47,light rain,0.14,0
243,Nouakchott,MR,18.09,-15.98,84.2,66,0,24.16,dust,0.0,0
244,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,86.0,70,40,3.36,scattered clouds,0.0,0
245,Jedrzejow,PL,50.64,20.3,73.99,81,55,1.99,light rain,0.51,0
246,East London,ZA,-33.02,27.91,70.93,31,0,9.4,clear sky,0.0,0
247,Grand Gaube,MU,-20.01,57.66,73.0,70,6,8.99,clear sky,0.0,0
248,Nanortalik,GL,60.14,-45.24,41.58,86,100,11.72,moderate rain,1.21,0
249,Aktash,RU,50.3,87.73,41.31,88,94,2.17,overcast clouds,0.0,0
250,Mayor Pablo Lagerenza,PY,-19.93,-60.77,66.79,55,92,12.57,overcast clouds,0.0,0
251,Kyaikkami,MM,16.08,97.57,81.82,83,100,7.9,light rain,0.66,0
252,Rock Sound,BS,24.9,-76.2,82.99,78,39,13.65,scattered clouds,0.0,0
253,Iralaya,HN,15.0,-83.23,89.6,75,40,9.17,scattered clouds,0.0,0
254,Meulaboh,ID,4.14,96.13,77.05,83,100,3.11,overcast clouds,0.0,0
255,Derveni,GR,38.13,22.42,80.01,54,11,1.72,few clouds,0.0,0
256,Hasaki,JP,35.73,140.83,66.2,100,75,5.82,light intensity drizzle rain,0.0,0
257,Conceicao Do Mato Dentro,BR,-19.04,-43.42,73.83,49,4,1.7,clear sky,0.0,0
258,Bani Walid,LY,31.76,13.99,79.65,42,0,18.77,clear sky,0.0,0
259,Borzoy,RU,42.84,45.63,75.2,64,90,13.42,light rain,0.13,0
260,Severo-Yeniseyskiy,RU,60.37,93.04,55.71,83,44,3.04,scattered clouds,0.0,0
261,Lhokseumawe,ID,5.18,97.15,76.89,86,100,7.72,light rain,0.16,0
262,Saint-Francois,FR,46.42,3.91,91.4,31,0,2.24,clear sky,0.0,0
263,Biak,ID,-0.91,122.88,76.39,84,99,6.98,overcast clouds,0.0,0
264,Port Augusta,AU,-32.5,137.77,41.0,93,1,6.93,clear sky,0.0,0
265,Constitucion,CL,-35.33,-72.42,54.16,68,64,2.77,broken clouds,0.0,0
266,Kurilsk,RU,45.23,147.88,47.46,72,96,7.05,overcast clouds,0.0,0
267,Saint George,US,37.1,-113.58,96.01,13,1,3.6,clear sky,0.0,0
268,Riverton,US,40.52,-111.94,84.0,39,1,11.41,clear sky,0.0,0
269,Butaritari,KI,3.07,172.79,82.58,75,32,12.66,scattered clouds,0.0,0
270,Ketchikan,US,55.34,-131.65,51.8,93,90,10.29,moderate rain,1.52,0
271,Zaranj,AF,30.97,61.88,87.8,29,0,9.17,clear sky,0.0,0
272,Kenai,US,60.55,-151.26,55.4,62,1,10.29,clear sky,0.0,0
273,Roald,NO,62.58,6.13,64.99,72,26,11.41,scattered clouds,0.0,0
274,Heihe,CN,50.24,127.49,57.2,100,40,2.24,scattered clouds,0.0,0
275,Weihai,CN,37.5,122.11,66.79,84,0,5.73,clear sky,0.0,0
276,Laguna,US,38.42,-121.42,82.0,53,1,3.2,clear sky,0.0,0
277,Qaqortoq,GL,60.72,-46.03,44.6,87,75,9.17,light intensity drizzle rain,0.0,0
278,Huarmey,PE,-10.07,-78.15,68.94,64,89,10.6,overcast clouds,0.0,0
279,Flin Flon,CA,54.77,-101.86,64.4,88,90,5.82,mist,0.0,0
280,Victoria,HK,22.29,114.16,84.0,81,100,14.25,light rain,0.16,0
281,Tezu,IN,27.92,96.17,73.87,87,100,2.17,heavy intensity rain,4.39,0
282,Pomabamba,PE,-8.83,-77.47,59.86,41,93,5.01,overcast clouds,0.0,0
283,Dombarovskiy,RU,50.76,59.54,52.92,84,27,7.81,scattered clouds,0.0,0
284,Kamariotissa,GR,40.48,25.47,78.8,73,75,13.87,thunderstorm,0.0,0
285,Kalininsk,RU,51.5,44.48,55.63,76,55,6.53,broken clouds,0.0,0
286,Pak Phanang,TH,8.35,100.2,79.79,82,48,6.53,light rain,0.2,0
287,Korla,CN,41.76,86.15,77.0,53,100,7.0,overcast clouds,0.0,0
288,Williams Lake,CA,52.14,-122.14,62.6,45,75,2.24,broken clouds,0.0,0
289,Bara,NG,10.37,10.73,88.99,53,51,12.91,broken clouds,0.0,0
290,Eyl,SO,7.98,49.82,81.36,71,26,25.81,scattered clouds,0.0,0
291,Ushtobe,KZ,45.25,77.98,68.88,37,45,10.54,scattered clouds,0.0,0
292,Lata,PT,40.16,-8.33,71.01,71,15,11.01,few clouds,0.0,0
293,Nantucket,US,41.28,-70.1,78.01,77,1,12.75,clear sky,0.0,0
294,Sitka,US,57.05,-135.33,50.0,81,90,5.82,overcast clouds,0.0,0
295,Waipawa,NZ,-41.41,175.52,52.0,78,96,8.01,overcast clouds,0.0,0
296,Mamit,IN,23.93,92.48,72.7,100,100,5.55,light rain,0.15,0
297,Buckeye,US,33.37,-112.58,102.99,9,1,4.7,clear sky,0.0,0
298,Iqaluit,CA,63.75,-68.51,46.4,70,20,10.29,few clouds,0.0,0
299,Taitung,TW,22.76,121.14,83.37,65,100,5.23,overcast clouds,0.0,0
300,Ondangwa,NA,-17.92,15.95,69.8,26,0,1.12,clear sky,0.0,0
301,Tiksi,RU,71.69,128.87,45.57,85,22,2.86,few clouds,0.0,0
302,Nachingwea,TZ,-10.38,38.77,73.02,61,78,4.21,broken clouds,0.0,0
303,Honiara,SB,-9.43,159.95,77.45,80,51,3.89,broken clouds,0.0,0
304,Doctor Arroyo,MX,23.67,-100.18,76.1,42,94,1.54,overcast clouds,0.0,0
305,Tomatlan,MX,19.93,-105.25,94.23,41,27,7.27,scattered clouds,0.0,0
306,Puerto Ayacucho,VE,5.66,-67.62,89.6,55,40,13.87,scattered clouds,0.0,0
307,Upernavik,GL,72.79,-56.15,36.84,89,100,3.29,overcast clouds,0.0,0
308,San Jeronimo,PE,-11.95,-75.28,62.06,33,76,2.46,broken clouds,0.0,0
309,Lucea,JM,18.45,-78.17,87.8,74,40,17.22,scattered clouds,0.0,0
